complaint_type,dow,hour,n
Noise - Residential,3,4,2170
Noise - Residential,3,5,2118
Noise - Residential,3,6,2227
Noise - Residential,3,7,2267
Noise - Residential,3,8,2400
Noise - Residential,3,9,2576
Noise - Residential,4,0,5818
Noise - Residential,4,1,4199
Noise - Residential,4,10,2301
Noise - Residential,4,11,2324
Noise - Residential,4,12,2398
Noise - Residential,4,13,2456
Noise - Residential,4,14,2539
Noise - Residential,4,15,2890
Noise - Residential,4,16,3215
Noise - Residential,4,17,3712
Noise - Residential,4,18,4467
Noise - Residential,4,19,4967
Noise - Residential,4,2,3079
Noise - Residential,4,20,6054
Noise - Residential,4,21,7025
Noise - Residential,4,22,9203
Noise - Residential,4,23,8611
Noise - Residential,4,3,2394
Noise - Residential,4,4,2030
Noise - Residential,4,5,1864
Noise - Residential,4,6,2049
Noise - Residential,4,7,2163
Noise - Residential,4,8,2099
Noise - Residential,4,9,2056
Noise - Residential,5,0,7031
Noise - Residential,5,1,5086
Noise - Residential,5,10,2526
Noise - Residential,5,11,2623
Noise - Residential,5,12,2688
Noise - Residential,5,13,2887
Noise - Residential,5,14,3053
Noise - Residential,5,15,3332
Noise - Residential,5,16,3784
Noise - Residential,5,17,4082
Noise - Residential,5,18,4871
Noise - Residential,5,19,5741
Noise - Residential,5,2,3357
Noise - Residential,5,20,6913
Noise - Residential,5,21,8876
Noise - Residential,5,22,12983
Noise - Residential,5,23,14136
Noise - Residential,5,3,2641
Noise - Residential,5,4,2002
Noise - Residential,5,5,1770
Noise - Residential,5,6,2013
Noise - Residential,5,7,2028
Noise - Residential,5,8,1988
Noise - Residential,5,9,2288
Noise - Residential,6,0,12675
Noise - Residential,6,1,9107
Noise - Residential,6,10,3294
Noise - Residential,6,11,3342
Noise - Residential,6,12,3559
Noise - Residential,6,13,3834
Noise - Residential,6,14,4168
Noise - Residential,6,15,4586
Noise - Residential,6,16,5064
Noise - Residential,6,17,5632
Noise - Residential,6,18,6598
Noise - Residential,6,19,8073
Noise - Residential,6,2,6135
Noise - Residential,6,20,10107
Noise - Residential,6,21,13681
Noise - Residential,6,22,21434
Noise - Residential,6,23,22554
Noise - Residential,6,3,4429
Noise - Residential,6,4,3455
Noise - Residential,6,5,2655
Noise - Residential,6,6,2304
Noise - Residential,6,7,2300
Noise - Residential,6,8,2806
Noise - Residential,6,9,3164
Rodent,0,0,200
Rodent,0,1,134
Rodent,0,10,434
Rodent,0,11,457
Rodent,0,12,392
Rodent,0,13,406
Rodent,0,14,428
Rodent,0,15,410
Rodent,0,16,412
Rodent,0,17,443
Rodent,0,18,439
Rodent,0,19,514
Rodent,0,2,102
Rodent,0,20,459
Rodent,0,21,490
Rodent,0,22,486
Rodent,0,23,332
Rodent,0,3,86
Rodent,0,4,54
Rodent,0,5,74
Rodent,0,6,107
Rodent,0,7,222
Rodent,0,8,286
Rodent,0,9,356
Rodent,1,0,245
Rodent,1,1,148
Rodent,1,10,898
Rodent,1,11,852
Rodent,1,12,817
Rodent,1,13,746
Rodent,1,14,738
Rodent,1,15,666
Rodent,1,16,733
Rodent,1,17,595
Rodent,1,18,624
Rodent,1,19,591
Rodent,1,2,100
Rodent,1,20,586
Rodent,1,21,654
Rodent,1,22,466
Rodent,1,23,402
Rodent,1,3,62
Rodent,1,4,88
Rodent,1,5,102
Rodent,1,6,221
Rodent,1,7,443
Rodent,1,8,639
Rodent,1,9,810
Rodent,2,0,247
Rodent,2,1,143
Rodent,2,10,852
